Sector 13 Dwarka; 5,833 - 15,000 / sqft; 12,852.93 / sqft;27.7%
mayur vihar phase 1; 5,000 - 16,667 / sqft; 15,839.12 / sqft;7.3%
South Extension 2; 23,091 - 27,273 / sqft; 27,110.39 / sqft;-
Ramesh Nagar; 5,833 - 11,818 / sqft; 8,394.52 / sqft;-26.7%
Punjabi Bagh; 9,231 - 17,500 / sqft; 14,88.89 / sqft;-
Garhi; 8,923 - 13,333 / sqft; 13,333.33 / sqft;-
Bindapur; 3,056 - 7,297 / sqft; 6,707.63 / sqft;-63.2%
Shalimar Bagh; 8,529 - 19,331 / sqft; 14,676.01 / sqft;-10.2%
Naraina; 9,929 - 16,000 / sqft; 14,339.03 / sqft;-7.7%
Rajinder Nagar; 9,286 - 25,641 / sqft; 25,169.53 / sqft;-28.7%
Sarita Vihar; 5,833 - 15,758 / sqft; 13,657.87 / sqft;16.5%
Sector 2 Dwarka; 6,815 - 16,444 / sqft; 13,907.82 / sqft;-29.1%
Sector 21 Rohini; 4,750 - 8,978 / sqft; 6,34.06 / sqft;-
Subhash Nagar; 6,222 - 10,000 / sqft; 8,460 / sqft;-
Green Park Extension; 65,371 / sqft; 65,371 / sqft;-
West End;-;-;-
Hari Nagar; 5,538 - 9,500 / sqft; 8,258.58 / sqft;29.7%
Mehrauli; 2,056 - 10,571 / sqft; 9,326.77 / sqft;19.6%
Mahavir Enclave; 889 - 9,167 / sqft; 6,868.79 / sqft;-26.5%
Badarpur; 3,200 - 3,729 / sqft; 3,596.61 / sqft;50.6%
Rohini sector 16; 5,396 - 17,448 / sqft; 13,430.86 / sqft;-
Shivalik; 46,197 / sqft; 46,197 / sqft;24.8%
Dr Mukherji Nagar; 12,847 / sqft; 12,847.22 / sqft;-18.9%
Sector 26 Rohini;-;-;-
Sangam Vihar; 3,023 / sqft; 3,23.26 / sqft;136.4%
Khirki Extension; 3,750 / sqft; 3,750 / sqft;-5.8%
Jamia Nagar; 3,043 - 8,649 / sqft; 6,964.8 / sqft;-4.3%
Ashok Vihar; 5,899 - 17,500 / sqft; 15,873.85 / sqft;-24.3%
Shastri Nagar; 8,444 - 11,333 / sqft; 10,688.89 / sqft;-72%
Sector 28 Rohini; 1,000 - 12,143 / sqft; 9,160.09 / sqft;-
Tagore Garden Extension; 6,481 / sqft; 6,481.48 / sqft;-
Safdarjung Development Area;-;-;-
Palam; 4,400 - 17,333 / sqft; 10,671.71 / sqft;856.5%
Jaitpur; 23,611 / sqft; 23,611.11 / sqft;-
Sector 3 Rohini; 8,636 - 9,500 / sqft; 9,068 / sqft;-
Karampura; 5,000 - 30,628 / sqft; 24,52.7 / sqft;-22.8%
Sector 13 Rohini; 4,615 - 25,263 / sqft; 21,907.4 / sqft;7.7%
rohini sector 5; 4,000 - 6,667 / sqft; 4,962.96 / sqft;-
Jasola; 3,889 - 14,556 / sqft; 13,390.42 / sqft;-10%
Nawada; 3,375 - 5,556 / sqft; 5,266.44 / sqft;-
Model Town; 10,615 - 14,084 / sqft; 13,302.55 / sqft;401.3%
Dabri; 2,886 - 2,908 / sqft; 2,907.76 / sqft;33.1%
Mansarover Garden; 13,333 / sqft; 13,333.33 / sqft;-
Mansa Ram Park; 3,200 - 7,778 / sqft; 6,621 / sqft;-
Prithviraj Road; 59,601 / sqft; 59,601 / sqft;-
Matiala; 3,000 - 6,125 / sqft; 5,350.85 / sqft;-
Kirti Nagar; 13,462 / sqft; 13,461.54 / sqft;-7.4%
Malcha Marg; 1,25,009 - 1,37,631 / sqft; 1,37,631.49 / sqft;-
Lajpat Nagar III; 13,667 / sqft; 13,666.67 / sqft;-40.7%
Sector 9 Rohini; 6,364 - 38,710 / sqft; 24,648.38 / sqft;31.9%
Om Nagar;-;-;-
Shanti Park Dwarka; 6,746 - 8,547 / sqft; 8,162.69 / sqft;15.5%
dwarka sector 17; 5,946 - 13,158 / sqft; 10,951.17 / sqft;-7.3%
Mithapur;-;-;-
Sector 20 Rohini; 4,916 - 8,527 / sqft; 7,480.03 / sqft;-61.2%
Vikas Puri; 4,500 - 14,393 / sqft; 13,646.27 / sqft;-24.4%
Sector 18A Dwarka; 7,909 - 12,500 / sqft; 11,787.43 / sqft;-17%
Jangpura; 11,000 - 27,308 / sqft; 19,739.66 / sqft;-
Neb Sarai; 2,716 - 12,887 / sqft; 6,301.28 / sqft;-21.5%
Sector-7 Rohini; 8,200 - 8,636 / sqft; 8,636.36 / sqft;-
Aurungzeb Road;-;-;-
Katwaria Sarai; 4,737 - 17,500 / sqft; 11,205.88 / sqft;-
Karol Bagh; 14,776 - 27,917 / sqft; 22,703.45 / sqft;-1.6%
Tilak Nagar; 9,250 - 10,000 / sqft; 9,625 / sqft;78.8%
Najafgarh; 3,071 / sqft; 3,71.43 / sqft;9.1%
Rajpur; 4,861 - 5,233 / sqft; 5,034 / sqft;-
Badarpur Border;-;-;-
Gujranwala Town;-;-;14%
Sector 8 Rohini; 14,167 / sqft; 14,166.67 / sqft;-
Lajpat Nagar IV;-;-;-30.3%
Sector 4 Rohini; 3,371 - 11,333 / sqft; 8,323.18 / sqft;-
Sector-8 Dwarka;-;-;-39.4%
Ashok Nagar; 3,117 - 16,000 / sqft; 11,78.97 / sqft;41.3%
Okhla; 9,444 - 33,333 / sqft; 30,100.76 / sqft;210.8%
Patparganj; 3,673 - 20,910 / sqft; 17,410.97 / sqft;-27.2%
Anand Vihar; 6,457 - 6,667 / sqft; 6,666.67 / sqft;-22.4%
Krishna Nagar; 4,082 - 4,898 / sqft; 4,897.96 / sqft;-3.3%
Tughlakabad; 1,559 - 5,556 / sqft; 4,556.32 / sqft;-57.4%
Okhla Village;-;-;-
Sector 1 Dwarka; 2,801 - 13,810 / sqft; 11,642.17 / sqft;-5.3%
Moti Nagar; 4,308 - 24,286 / sqft; 18,820.63 / sqft;-5.6%
Jamia Nagar Batla House;-;-;-
Sector 24 Rohini; 6,400 - 15,385 / sqft; 10,782.21 / sqft;5.7%
SULTANPUR; 2,431 - 8,261 / sqft; 5,796.12 / sqft;13.2%
greater kailash Enclave 1; 4,500 - 18,788 / sqft; 18,164.04 / sqft;-
Uttam Nagar west; 2,975 - 3,333 / sqft; 3,333.33 / sqft;-25.7%
C R Park; 7,308 - 14,231 / sqft; 11,758.24 / sqft;18.6%
Rohini Sector 9; 9,167 - 28,089 / sqft; 23,204.61 / sqft;20.2%
Sector 6 Rohini; 10,447 - 12,554 / sqft; 11,500.82 / sqft;-
Tekhand Okhla Phase I;-;-;-
Madanpur Khadar;-;-;-
Babarpur; 2,994 - 5,714 / sqft; 4,354.15 / sqft;-
Badarpur Village;-;-;-
Jaitpur Extension;-;-;-
Jaitpur Extension Part II Khadda Colony;-;-;-
Batla House Jamia Nagar; 3,600 - 4,166 / sqft; 3,977.33 / sqft;-
DLF Phase 5; 5,965 - 18,154 / sqft; 18,46.56 / sqft;-
Khadda Colony;-;-;-
Khanpur Deoli; 2,600 - 4,250 / sqft; 3,856.19 / sqft;20.4%
Poorvi Pitampura; 25,138 / sqft; 25,137.74 / sqft;-
Govindpuri Extension; 5,111 / sqft; 5,111.11 / sqft;-
Mandakini Enclave; 11,875 - 15,067 / sqft; 14,751.72 / sqft;9.6%
Gautam Nagar; 10,000 - 17,778 / sqft; 14,464.65 / sqft;47.3%
Harkesh Nagar;-;-;-
Sector 17 Dwarka; 6,650 - 11,250 / sqft; 10,761.47 / sqft;-18.6%
Inderpuri; 7,222 - 13,333 / sqft; 13,333.33 / sqft;-62.1%
Mithapur Extension;-;-;-
Ismailpur;-;-;-
