Zone L Dwarka; 7,826 - 12,857 / sqft; 12,42.86 / sqft;-21.7%
Chandan Hola; 5,555 - 16,753 / sqft; 13,953.48 / sqft;-
Daheli Sujanpur;-;-;-
DDA Flats Kalkaji;-;-;-
Delhi Cantonment;-;-;-
Govindpuri Main;-;-;-
Jaitpur Extension Part II;-;-;-
Jharoda Majra Burari;-;-;-
Kalkaji Main;-;-;-
Khajoori Khas;-;-;-
Kohat Enclave;-;-;-
Mayur Vihar 1 Extension;-;-;-
Mehrauli Badarpur Road;-;-;-
Nilothi;-;-;-
Om Vihar;-;-;103.1%
Pushpanjali Farms;-;-;-
Qutab Enclave;-;-;-
Saboli;-;-;-
Samay Pur;-;-;-
Sector 20 Dwarka; 5,556 - 5,714 / sqft; 5,714.29 / sqft;-
Tara Nagar; 3,836 - 4,480 / sqft; 4,480 / sqft;-
AGCR Enclave;-;-;-68.6%
Ajay Enclave;-;-;-
Badarpur Mehrauli Road;-;-;-
Deenpur;-;-;-
Dhul Siras;-;-;-
DLF Ankur Vihar; 4,400 / sqft; 4,400 / sqft;-
Faridabad Gurgaon Road; 3,444 / sqft; 3,444 / sqft;-
Fatehpur Beri;-;-;-
Gagan Vihar Extension Gagan Vihar;-;-;-
Gokalpur;-;-;-
Gulabi Bagh;-;-;-
Haji Colony;-;-;-
Jogabai Extension New Delhi; 4,052 / sqft; 4,052 / sqft;-
Kalkaji Govindpuri Extension;-;-;-
Lajwanti Garden;-;-;-27.8%
Malcha;-;-;-
Mangolpuri;-;-;-
Mathura Road Jasola;-;-;-
Najafgarh Dhansa Road;-;-;-
Nangal Dewat;-;-;-
Palam Colony;-;-;-12.2%
Prashant Vihar;-;-;-10.7%
Rangpuri;-;-;-
Sainik Vihar; 13,235 / sqft; 13,235.29 / sqft;-
Shivalik Block B;-;-;-
Shyam Vihar Phase1;-;-;-
South Patel Nagar;-;-;-
Tihar Village;-;-;-
Tikri Kalan;-;-;-
Uttam Nagar Nanhey Park;-;-;-
Uttam Nagar Vani Vihar;-;-;-
Virender Nagar;-;-;21.2%
Vishwas Park;-;-;-
West Enclave; 10,748 - 17,500 / sqft; 14,124 / sqft;-
Trilokpuri; 15,357 / sqft; 15,357.14 / sqft;-
1 Lane Johri Farm; 4,444 / sqft; 4,444 / sqft;-
A1 Block Paschim Vihar Delhi; 8,888 / sqft; 8,888 / sqft;-
Ali Village;-;-;-14.5%
Anand Parbat;-;-;-92%
Bhogal; 8,182 / sqft; 8,181.82 / sqft;-
Block AP Poorvi Pitampura;-;-;-
Bolck B1 Mohan Cooperative Industrial Estate;-;-;-
Budh Vihar Phase I;-;-;-
Chanakya Puri;-;-;-
Dakshini Pitampura;-;-;-
Daya Basti;-;-;-
Dichaon Kalan;-;-;-
Dilshad Colony; 5,444 - 7,704 / sqft; 6,574.07 / sqft;109.8%
Dwarka More Mohan Garden;-;-;-
Gazipur;-;-;-11%
Gold Valley;-;-;-
Haiderpur;-;-;5.6%
Hemkunt Colony;-;-;-
Kalyan Puri;-;-;-
Kiran Garden;-;-;-
Kirari Suleman Nagar;-;-;-
Lok Vihar;-;-;-
Main Rajapuri Road;-;-;-
Malviya Nagar Block G;-;-;-
Masjid Moth Village;-;-;-
Mathura Road Badarpur;-;-;-
Mayur Vihar Phase 2; 8,117 - 8,500 / sqft; 8,308.5 / sqft;10%
Meera Bagh; 8,000 - 11,363 / sqft; 9,681.5 / sqft;-9.1%
Mohan Co operative;-;-;229.3%
Mukherji Park;-;-;-
Mukundpur;-;-;-
Najafgarh Road Industrial Area;-;-;34%
Nawada Uttam Nagar;-;-;-23.1%
New Mustafabad;-;-;-
Nirman Vihar;-;-;5484.5%
Okhla Vihar Block D;-;-;-
Palam Vihar Bijwasan Road;-;-;-
Qutub Vihar;-;-;-
Raja Puri;-;-;15.3%
Ramesh Park;-;-;-
Ratan Park Delhi;-;-;-
Sector 32 Rohini; 3,702 / sqft; 3,701.75 / sqft;-
Sector-14 Rohini; 11,031 - 29,310 / sqft; 20,170.46 / sqft;27.1%
Shiv Park;-;-;-
Sita Ram Bazar;-;-;-
South Ganesh Nagar Underpass;-;-;-
Sultan Puri;-;-;-
Tagore Garden;-;-;-51.9%
Uttam Nagar Jain Colony Part 1;-;-;-
Vinod Nagar East; 4,727 / sqft; 4,727.27 / sqft;-
West Sagarpur; 2,697 / sqft; 2,696.63 / sqft;-
Alipur Village;-;-;-
Amar colony;-;-;-
Amrita Shergill Marg;-;-;-
Arjun Nagar; 8,444 / sqft; 8,444.44 / sqft;33.8%
Ashok Vihar Phase-1;-;-;-
Aya Nagar Phase 5;-;-;-
Bakhtawar Pur Village;-;-;-
Bangali Colony West Sant Nagar;-;-;-
Bawana; 2,381 / sqft; 2,380.95 / sqft;-
Begam Pur;-;-;-
Ber Sarai; 8,621 / sqft; 8,620.69 / sqft;-
Bhagwati Vihar;-;-;-
Bhajanpura;-;-;-72.7%
Bharat Vihar Road;-;-;-
Bhatti Kalan;-;-;-
Bhola Nath Nagar;-;-;-
Bihari Colony;-;-;-
Block A1 Chattarpur;-;-;-
Block DP Poorvi Pitampura;-;-;-
Block MP Poorvi Pitampura;-;-;-
Block RP Poorvi Pitampura;-;-;-
Block SU Uttari Pitampura;-;-;-
Block TP Poorvi Pitampura;-;-;-
Chhattarpur Enclave Phase1;-;-;-
Chilla Sarda Bangar Delhi;-;-;-
CR Park Main Road;-;-;-
Dabri Extension;-;-;-
Derawal Nagar;-;-;-
devli export enclave;-;-;-8.9%
Double Storey New Rajinder Nagar;-;-;-
Dwarka Road;-;-;-
E 2 Vasant Kunj; 11,400 / sqft; 11,400 / sqft;23.3%
E Block Preet Vihar;-;-;-
East Punjabi Bagh Jaidev Park; 10,067 / sqft; 10,66.67 / sqft;-
Freedom Fighter Enclave Road;-;-;-
Freedom Fighters Enclave;-;-;-
Gandhi Vihar;-;-;-
Gharoli;-;-;-
Gole Market;-;-;-
Greater kailash enclave II;-;-;-
Ibrahimpur;-;-;-
Jahangirpuri;-;-;-
Jain Colony Delhi;-;-;-
Jangpura A;-;-;-
Jharoda Kalan;-;-;-
Kailash Enclave Harsh Vihar;-;-;-
Kalindi;-;-;-
Kalu Sarai;-;-;-
Kanhaiya Nagar Gali Number 2;-;-;-
Khandsa Colony;-;-;-
Khichripur;-;-;-
KHIRKI VILLAGE;-;-;-
Kishan Ganj;-;-;-
KMP Expressway;-;-;-
Kondli;-;-;-
Kotla Mubarakpur; 11,111 / sqft; 11,111.11 / sqft;-26.4%
laxmi nagar near metro station;-;-;-
Madhu Vihar IPExtension;-;-;-
Mahavir Enclave Bengali Colony;-;-;15.5%
Main Chhatarpur Road;-;-;-
Malka Ganj;-;-;-
Mandi House;-;-;-
Matiala;-;-;-
Mayapuri; 10,000 / sqft; 10,000 / sqft;-19.2%
Mittal Garden;-;-;-
Nangli Sakrawati;-;-;-
Naraina Village;-;-;-
New Rohtak Road Karol Bagh;-;-;-
ohkla industrial area Ph I;-;-;-
Pamposh Enclave;-;-;-
Paryavaran Complex Main; 4,000 - 4,500 / sqft; 4,500 / sqft;-
Pitampura KP Block;-;-;-
Pitampura Village Harsh Vihar;-;-;-
Prahlad Vihar;-;-;-
Prakash Mohalla Amritpuri;-;-;-
Presidents Estate;-;-;-
Pulpehladpur;-;-;-34.4%
Rani Bagh;-;-;-53.1%
Rithala;-;-;248.4%
Safdarjung;-;-;9.1%
santosh park;-;-;-
Sector 16 Rohini; 17,778 / sqft; 17,777.78 / sqft;-
Sector 16A Dwarka;-;-;-
Sector 27 Dwarka; 6,707 / sqft; 6,707.32 / sqft;-
Sector-16 Dwarka; 2,923 - 3,384 / sqft; 3,153.5 / sqft;67.8%
Sector-8 Rohini;-;-;-
SectorB Vasant Kunj;-;-;-
Shahdara Shri Ram Nagar;-;-;-
Sharda Puri; 8,969 / sqft; 8,968.61 / sqft;-
Sherpur;-;-;-
Shyam Nagar;-;-;-
Suraj Kund Badkhal Road;-;-;-
Suraj Vihar;-;-;20.6%
Tigri Road;-;-;-
Transit Camp;-;-;-
Uttarakhand;-;-;-
Vaishali; 4,602 / sqft; 4,602 / sqft;79.9%
Vigyan Vihar;-;-;-
Vishwas Park Extn Jain Colony;-;-;-
Westend;-;-;-70.2%
Westend DLF Chattarpur Farms;-;-;-
Yamuna Vihar Road;-;-;-
Zone P II;-;-;-58.1%
144 Sector B Road;-;-;-
168 Sector 13 Main Road; 5,291 / sqft; 5,291.48 / sqft;-
81 Noida Link Road;-;-;-
90 Sector 21 Road; 4,815 / sqft; 4,814.81 / sqft;-
A4 Block Paschim Vihar;-;-;-
Abul Fazal Enclave I; 4,000 / sqft; 4,000 / sqft;-
AD Block Pitampura;-;-;-
Ajay Enclave Extension;-;-;-
Alipur;-;-;-7.4%
Ambience Island DLF Phase 3; 19,316 / sqft; 19,316.07 / sqft;-
Ambika Enclave; 4,571 / sqft; 4,571 / sqft;-
Aradhna Enclave;-;-;-
Arpan Vihar Colony;-;-;-
Asaf Ali Road;-;-;341.6%
Ashok Vihar Phase-2;-;-;-
Aya Nagar Bandh Road;-;-;-
Aya Nagar Extn;-;-;-
B 5 Block;-;-;-
B1 Block Paschim Vihar;-;-;-
Bada Hindu Rao Road;-;-;-
Bahapur;-;-;-
Bakkarwala;-;-;-
Balbir Nagar Extension;-;-;-
Baljit Vihar;-;-;-
Bamnoli Dwarka Sector 28;-;-;-
Bamnoli Sector 28 Dwarka;-;-;-
Baprola;-;-;-
Basai Dara pur;-;-;-
Basantpur Road;-;-;-
Begampur Extension;-;-;-
Begampur Park;-;-;-
Bengali Colony Mahavir Enclave Part 1;-;-;-
Bhalswa;-;-;-
Biharipur;-;-;-
Bijwasan Railway Station Road;-;-;-
Block A Sector 8 Dwarka;-;-;-
Block B Pochanpur;-;-;-
Block C Vishwas Park; 5,000 / sqft; 5,000 / sqft;-
Block CU Uttari Pitampura;-;-;-
Block E Lajpat Nagar I;-;-;-
Block E Pandav Nagar Road;-;-;-
Block ND Dakshini Pitampura;-;-;-
Block PP Poorvi Pitampura;-;-;-
Block RU Uttari Pitampura;-;-;-
Block WP Poorvi Pitampura;-;-;-
Block ZP Poorvi Pitampura;-;-;-
Chanakya Place;-;-;-
Chanakya Place I;-;-;-62.3%
Chandan Vihar;-;-;-
Chandra Park;-;-;2.6%
Chatesar;-;-;-
Chattarpur Mandir Road;-;-;-
Chhatarpur Enclave Phase 2;-;-;-
Chhatarpur Extension;-;-;-
Chilla Sarda Bangar Chilla Sarda Bangar Village;-;-;-
Chirag enclave;-;-;-
Dal Mill Road;-;-;-
Dasghara;-;-;-
Dayalpur Extension;-;-;-
Deepali;-;-;-
Delhi Gurgaon Expressway;-;-;16%
Delhi Haridwar Road; 3,594 / sqft; 3,593.75 / sqft;-
Delhi Metro Blue Line;-;-;-
Delhi Race Club;-;-;-
Dev Nagar;-;-;-
Dhaula Kuan;-;-;-
Dhirpur;-;-;-
DLF City Phase 1;-;-;-
DLF City Phase 3 Road;-;-;-
Dwarka Mor Vipin Garden Extension; 3,989 / sqft; 3,988.6 / sqft;-
Dwarka sec 6;-;-;-1.4%
dwarka sec3;-;-;-
Dwarka Sector 7;-;-;-2.9%
East Guru Angad Nagar;-;-;-
East Vinod Nagar;-;-;-
Engineers Enclave Harsh Vihar;-;-;-
Friends Colony West;-;-;-
FU Block Uttari Pitampura;-;-;-
Gadaipur Bandh Road;-;-;-
Ganga Ram Vatika;-;-;-
GH 13; 11,200 / sqft; 11,200 / sqft;-
GH9 Block; 8,526 / sqft; 8,526 / sqft;-
Ghevra;-;-;-
Gobindpuri;-;-;-
Gopal Nagar;-;-;-
Goyla Dairy;-;-;-
GTB Nagar;-;-;-
Gurgaon Faridabad Road;-;-;-
Guru Harkishan Nagar;-;-;-
Guru Ram Dass Nagar; 6,500 / sqft; 6,500 / sqft;-
Haibutpur;-;-;-
Hardev Nagar Street;-;-;-
Hari Singh Park;-;-;-
Indraprasth Colony;-;-;-
Ishwar Colony;-;-;-
Islampur;-;-;-
Jagatpuri;-;-;285.7%
Jai Vihar Najafgarh Road;-;-;-
Jain Park Om Vihar Extension;-;-;-
Jaipur Road;-;-;-
jangpura bhogal;-;-;-
Jangupura Extension;-;-;-
Jhajjar Road;-;-;-
Jia Sarai;-;-;-
Jyoti Nagar West;-;-;-
Kapil Vihar;-;-;-
Karnal Bypass;-;-;39%
Kashmere Gate;-;-;-
Kasturba Gandhi Marg;-;-;-
Keshavpuram;-;-;-
Kewal Park;-;-;-
KG III;-;-;-
Khajuri Khas; 4,194 / sqft; 4,193.55 / sqft;-
Khampur Village;-;-;-
Kirti Nagar Industrial Area;-;-;-
Kishangarh Village;-;-;-
Kondli Extension;-;-;-
Kondli Gharoli;-;-;-
Kotla Village;-;-;-
Krishna Park Jawahar Park;-;-;-
Lajpat Nagar Vinoba Puri;-;-;-
Laxmi Vihar; 5,019 / sqft; 5,19.31 / sqft;-
Lodhi Colony;-;-;-
Loni Gol Chaker Flyover;-;-;-
Madanpur Dabas;-;-;-
Madipur;-;-;-
Mahavir Enclave II & III;-;-;-
Mahavir Enclave Nanda Block;-;-;-
Mahipalpur Village;-;-;-
Main Mathura Road;-;-;-
Majlis Park;-;-;-
Mall Road;-;-;-
Manak Vihar Extension;-;-;-
Mansarovar garden;-;-;-59%
masoodpur;-;-;-
Mayur Vihar I Extension;-;-;13%
Mayur Vihar Phase II Pocket B; 7,037 / sqft; 7,037 / sqft;-
Meenakshi Garden;-;-;-
Meet Nagar;-;-;-
Mehram Nagar; 6,800 / sqft; 6,800 / sqft;-
Mirpur Turk;-;-;-
Mohammadpur Majri; 4,444 / sqft; 4,444 / sqft;-
Multani Dhanda;-;-;-
Najafgarh Bahadurgarh Road;-;-;-
Nanak Heri Village; 11,105 / sqft; 11,104.62 / sqft;-
Nangal Raya;-;-;-
Nangli Dairy;-;-;-
Nangloi Najafgarh Road;-;-;-
Narela Mandi;-;-;-
Nasirpur Road; 5,419 / sqft; 5,419.35 / sqft;4.7%
Naveen Palace;-;-;-
Nawada Extension;-;-;-
Nehru Nagar;-;-;-
Nehru Vihar;-;-;-
New Friends Colony East;-;-;-
New Krishna Nagar;-;-;-
New Manglapuri; 7,874 / sqft; 7,874.02 / sqft;-
New Modern Shahdara;-;-;-
New Moti Bagh;-;-;-
New Palam Vihar Phase 2;-;-;-
New Roshanpura;-;-;-
Nirmal Vihar;-;-;-
Old Seelampur;-;-;-
Om Vihar Phase 5;-;-;-
Padam Nagar; 7,374 / sqft; 7,373.74 / sqft;-
Pahar Ganj; 2,600 / sqft; 2,600 / sqft;-
Palam Village;-;-;-
Parshwapuram;-;-;-
Paschim Vihar A 1 Block; 8,235 / sqft; 8,235 / sqft;-
Paschim Vihar Main; 10,952 / sqft; 10,952 / sqft;-
Patel Garden;-;-;-
Peeragarhi Village;-;-;-
Phase II Udyog Vihar;-;-;-
Pitampura Block NP;-;-;-
Pocket A Sector 17 Dwarka;-;-;-
Pratap Nagar;-;-;-
Priyadarshani Vihar;-;-;-
Punjabi Bagh Extension;-;-;-
Pusa;-;-;-
Puth Khurd Village;-;-;-
Puthkhurd;-;-;-
Qutub Vihar I;-;-;-
R Block Rajender Nagar Part 1;-;-;-
Radhey Puri;-;-;-
Raghu Nagar;-;-;-
Raj Nagar Extension;-;-;-
Rajdhani Park;-;-;-
Rajokri;-;-;-
Rama Park;-;-;16.5%
Rama Park Block B;-;-;-
Rameshwar Nagar;-;-;-
ramphal chowk;-;-;5.2%
Rana Pratap Bagh;-;-;71.2%
Rani Khera;-;-;-
Rashid Market;-;-;-
Rawta More;-;-;-
Rishabh Vihar Karkardooma;-;-;-
Sadar Bazaar;-;-;-
Sadh Nagar II;-;-;-
Safdarjung Enclave Block A 2;-;-;-
Sagarpur;-;-;-
Sainik Nagar Mansa Ram Park;-;-;-
Saiyad Ul Ajaib Extension;-;-;-
Samalkha;-;-;-
Sandesh Vihar; 18,518 / sqft; 18,518 / sqft;-
Sanjay Gandhi Transport Nagar;-;-;-
Sanjay Nagar;-;-;-
Sant Nagar Extension;-;-;-
Satyawati nagar;-;-;-
Savitri Nagar;-;-;-
Savitri Nagar Village;-;-;-
Sawan Park;-;-;-
Sector 30;-;-;-
Sector 31 Rohini;-;-;-
Sector 34 Rohini;-;-;-
Sector 39 Rohini;-;-;-
Sector 5 Rohini;-;-;-
Sector 6;-;-;1.1%
SECTOR 7 DWARKA NEW DELHI;-;-;63.9%
Sector 7 Jasola Vihar; 9,760 / sqft; 9,760 / sqft;-
Sector 7G;-;-;-
Sector17 Rohini;-;-;-
Sector20 Rohini;-;-;-
Sector24;-;-;-
Sector7 Rohini;-;-;-
Seelampur;-;-;-
SFS Flats Saket;-;-;-
Shadipur Metro Station;-;-;-
Shahabad Daulatpur Village;-;-;-
Shahabad Mohammadpur; 4,867 / sqft; 4,866.67 / sqft;-
Shaheed Bhagat Singh Colony;-;-;-
Shakarpur;-;-;-7.4%
Shalimar Bagh BH Block;-;-;-
Shalimar Garden;-;-;1.6%
Shanti Nagar; 4,356 / sqft; 4,356.44 / sqft;-
Sheikh Sarai Phase2 New Delhi;-;-;52.7%
Shiv Kunj;-;-;-
shiv vihar;-;-;-
Shivaji Enclave;-;-;109.1%
Shivalik Colony;-;-;-
Siddharth Enclave; 12,857 / sqft; 12,857.14 / sqft;10.4%
Siddhartha Extension; 14,118 / sqft; 14,117.65 / sqft;-
Siraspur;-;-;-
Sonia Vihar Pushta Road;-;-;-
Srinagar Garden; 8,333 / sqft; 8,333.33 / sqft;-
Subhadra Colony;-;-;-
Subzi Mandi;-;-;-
Sukhbeer Nagar;-;-;-
Sunder Vihar;-;-;-
Surya Nagar;-;-;-
Swami Nagar;-;-;-
Tarun Enclave;-;-;-
Teliwara;-;-;-
Tronica City Road;-;-;-
Tughlak Road Area;-;-;-
Udyog Vihar III;-;-;-
Vaishali Dakshini Pitampura;-;-;-
Vasant Enclave;-;-;-
Vigyan Lok;-;-;-
Vijay Enclave;-;-;-
Vikas Nagar Extn;-;-;-
Vikram Nagar;-;-;-
Vikram Vihar Lajpat Nagar IV;-;-;-
Vipin Garden;-;-;-
Vishwas Nagar;-;-;-8%
Vivek Vihar II;-;-;-
Ward No 2 Lakhi Nath Kuti;-;-;-
Wazirpur Industrial Area;-;-;-
West End Greens;-;-;-
West Rohtash Nagar;-;-;-
West Sant Nagar;-;-;-
Yamuna Road;-;-;-
Yojna Vihar;-;-;-
Delhi Cantt;-;-;-2.2%
1 Palam Village Road;-;-;-
10 Dwaraka Marg;-;-;-
10 Dwarka Sector 9 Road;-;-;-
10 Sector Dwarka;-;-;-
100 Feet Road;-;-;-
102 Sector 21 Road;-;-;-
103 Sector 21 Road;-;-;-
103 Sector Road;-;-;-
105 Sector 22 Road;-;-;-
106 Sector 22 Road;-;-;-
107 Sector 23 Road;-;-;-
109 Sector 21 Road;-;-;-
110 Sector 22 Road;-;-;-
110019 College Lane;-;-;-
119 Sector 6 Road;-;-;-
12 Westend Marg;-;-;-
127 Sector 23 Road;-;-;-
137 Sector 13 Main Road;-;-;-
149 Sector 22 Road;-;-;-
150 Sector Road;-;-;-
164 Sector Road;-;-;-
183 Mathura Road;-;-;-
19 Sector 12 Road;-;-;-
19 Sector 13 Main Road;-;-;-
2 Dwarka Sector 16 Main Road;-;-;-
2 Palam Village Road;-;-;-
22 Sector 13 Main Road;-;-;-
25 Feet Road;-;-;-
27 Greater Kailash 1 Road;-;-;-
3 Dwarka Sector 9 Road;-;-;-
34 b Golden Enclave;-;-;-
4 Dwarka Sector 9 Road;-;-;-
4 Greater Kailash 1 Road;-;-;-
4 Sector 4 Road;-;-;-
40 Feet Road;-;-;-
40 Sector 21 Road;-;-;-
43 Sector Road;-;-;-
45 S Block Road;-;-;-
45 Sector 21 Road;-;-;-
46 Sector 23 Road;-;-;-
47 Sector 22 Road;-;-;-
48 Sector 22 Road;-;-;-
5 Delhi Gate Main;-;-;-
51 Sector 21 Road;-;-;-
52 Park Road;-;-;-
52 Sector Road;-;-;-
55 Sector 13 Main Road;-;-;-
55 Sector 21 Road;-;-;-
55 Sector Road;-;-;-
59 Sector 22 Road;-;-;-
595 Parmanand Colony West;-;-;-
6 Sector 13 Main Road;-;-;-
60 Feet Road;-;-;-
62 Noida Bridge;-;-;-
65 Sector 22 Road;-;-;-
65 Sector Road;-;-;-
67 Sector 22 Road;-;-;-
72 Sector 23 Road;-;-;-
75 Noida Road;-;-;-
75 Sector 22 Road;-;-;-
76 Noida Road;-;-;-
77 Sector 6 Road;-;-;-
78 Sector 6 Road;-;-;-
79 Mathura Road;-;-;-
79 NH 48;-;-;-
79 Noida Link Road;-;-;-
79 Sector 23 Road;-;-;-
82 Sector 22 Road;-;-;-
85 Sector 22 Road;-;-;-
86 Sector 21 Road;-;-;-
87 Sector 23 Road;-;-;-
88 Sector 22 Road;-;-;-
89 Sector 21 Road;-;-;-
89 Sector 22 Road;-;-;-
91 Sector 23 Road;-;-;-
92 Sector 22 Road;-;-;-
93 Sector 23 Road;-;-;-
94 B Block Road;-;-;-
944 B Block Road;-;-;-
95 Sector Road;-;-;-
A 1 Block;-;-;-
A 2 Block;-;-;-
A 3 Block;-;-;-
A 5B Block;-;-;-
A 6 Block;-;-;-
A Block;-;-;-
A Block JJ Colony;-;-;-
A Block Road;-;-;-
A z a d Nagar Road;-;-;-
A1 Block Road;-;-;-
A2 Janak Puri;-;-;-
A5 Block;-;-;-
Aakash Vihar;-;-;251.5%
Aaya Nagar;-;-;256.8%
ABlock;-;-;-
ABlock Main Road;-;-;-
Abul Fazal Enclave;-;-;-35.7%
Abul Fazal Enclave II New Delhi;-;-;-
Abul Fazal Enclave New Delhi;-;-;7.8%
Abul Fazal Enclave Part 2 Jamia Nagar;-;-;-
Abul Fazal Enclave Part 2 New Delhi;-;-;-
Abul Fazal Part II;-;-;-
Abul Fazal Road;-;-;-
AC Block Shalimar Bagh;-;-;-
AD Block Shalimar Bagh;-;-;-
Adarsh Enclave;-;-;-
Adarsh Nagar Extension;-;-;-
Adhchini;-;-;1648.3%
Adhchini Village;-;-;-
Adhchini Village Road;-;-;-
Adhyapak Nagar;-;-;-
Adhyapak Nagar Delhi;-;-;-
Aditi Apartments;-;-;-
Aerocity;-;-;-
Aerocity New Delhi;-;-;-
Agar Nagar;-;-;-
Ahinsa Vihar Road;-;-;-
Ahinsha Enclave;-;-;-
AIIMS Campus;-;-;-
Air India Colony;-;-;-
Airforce Station;-;-;-
Ajit Nagar;-;-;-
Ajit Vihar;-;-;-
Ajit Vihar Burari Garhi;-;-;-
Ajmeri Gate;-;-;-98.1%
Akbar Pur Mazra;-;-;-
Akbarpur Majra;-;-;-
AKSHARDHAM;-;-;-25.9%
Akshardham Road;-;-;-
Akshardham Temple;-;-;-
Alaknanda DDA Flats Road;-;-;-
Alaknanda Gangotri Enclave;-;-;-
Alampur;-;-;-
Aligarh;-;-;-
Aman Vihar;-;-;-
amar colony e block;-;-;-
amar colony market;-;-;-
Amar Vihar;-;-;-
Ambadeep Building;-;-;128.3%
Ambedkar Nagar;-;-;316.3%
Ambedkar Place;-;-;-
Amber Hai;-;-;-
Ambica Vihar;-;-;-57%
Ambika Enclave Delhi;-;-;-
Ambrahi Village;-;-;-
Amrit Puri Block B;-;-;-
Anand Kunj;-;-;-
Anand Nagar Laxmi Nagar;-;-;-
Anand Parbat Industrial Area;-;-;-
Anand Vihar C Block Road;-;-;-
Anant Ram Dairy;-;-;-
Anarkali Colony;-;-;-
Anarkali Colony North;-;-;-
Anarkali Colony South;-;-;-
Anarkali Colony South Anarkali Colony;-;-;-
Andheria Mor Village;-;-;-
Andrews Ganj;-;-;-
Ankur Enclave;-;-;-
Ansal Satbari;-;-;-
Ansal Villas;-;-;-
Ansari Nagar East;-;-;-
Ansari Nagar West;-;-;-
Ansari Road;-;-;-
Antriksh Bhawan;-;-;-
Anup Nagar;-;-;-
Anup Nagar Delhi;-;-;-
Anupam Garden 10th Lane;-;-;-
APB Garhi;-;-;-
Arakashan Road;-;-;-
Aram Park;-;-;-
Aram Park;-;-;-
Arihant Nagar;-;-;-
Arjan Garh;-;-;-
Arjun Gali;-;-;-
Arjun Park;-;-;-
Arjun Park Main;-;-;-
Arjun Vihar;-;-;-
Arsiwalla Villa;-;-;-
Arya Nagar;-;-;-
Arya Nagar Road;-;-;-
Arya Pura;-;-;-
Asalatpur Khadar;-;-;-
Asalatpur Village;-;-;-
Asha Park;-;-;-
Ashirwad;-;-;-
Ashok Nagar Extension;-;-;-
Ashok Nagar Mandoli;-;-;-
Ashok Vihar II;-;-;-
Ashok Vihar Phase 1 Road;-;-;-
Ashok Vihar Phase 3;-;-;-
Ashoka Niketan;-;-;-
Ashoka Road;-;-;-
Ashram New;-;-;-
Asiad village;-;-;-
Asian Games Village Complex;-;-;-
Asian Highway 2;-;-;-
Asola;-;-;-
Asola Extention;-;-;-
Asola Farm Road;-;-;-
Asola Farms;-;-;-
Asola Wild Life Sanctuary;-;-;-
Auchandi;-;-;-
Aurbindo;-;-;-
Aurobindo Marg;-;-;-
Avantika Delhi;-;-;-
Avantika New Delhi;-;-;-
Avantika Sector 1;-;-;-
Avatar Vihar;-;-;-
Avenue Number 4;-;-;-
Awas Vikas;-;-;-
Aya Nagar Baba Mohalla;-;-;-
Aya Nagar Extension;-;-;-
Aya Nagar Extension G Block;-;-;-
Aya Nagar Phase 1;-;-;-
Aya Nagar Phase 2;-;-;-
Ayur Vigyan Nagar;-;-;-
Ayurvigyan Nagar;-;-;-
Azad Apartments;-;-;24.7%
Azad Market;-;-;-91.6%
Azad Nagar;-;-;-
Azad Nagar East;-;-;-
Azad Nagar East Delhi;-;-;-
Azad Nagar West;-;-;-
B 2 Block;-;-;-
B 3 Block;-;-;-
B 7;-;-;-
B a b a Colony Main Road;-;-;-
B a n k Enclave Road;-;-;-
B Block;-;-;-
B1 Road;-;-;-
B2A Block Block B 2B;-;-;-
B3;-;-;-
B4 Block;-;-;-
B5 Road;-;-;-
B6;-;-;-
Baandh Road;-;-;-
Baba Colony;-;-;-
Baba Colony Main Road;-;-;-
Baba Farid Puri;-;-;-
Baba Haridas Nagar;-;-;-
Baba Mohalla;-;-;-
Baba Road;-;-;-
Babarpur Road;-;-;-
Babarpur Village;-;-;-
Babu Nagar;-;-;-
Badam Singh Market;-;-;-
badhwar apartment;-;-;4.2%
Badiwala Kua;-;-;-
Bagdola;-;-;-
Bagdola Dwarka 8 Sector;-;-;-
Bagem Pur;-;-;-
Bagh Kare Khan;-;-;-
Baghpat Road;-;-;-
Bahadur Shah Zafar Marg;-;-;-
Bahadurgarh Road;-;-;-
BAHAWALPUR APARTMENT;-;-;-
Bajaj Enclave;-;-;-
Bajitpur Thakran;-;-;-
Bakarwala;-;-;-18%
Bakkar Wala Colony;-;-;-
Bal Udhyan Road;-;-;-
Balbir Nagar;-;-;-
Baldev Park East;-;-;-
Baljit Nagar;-;-;-
Ballabgarh Sector 6;-;-;-
Balraj Khanna Marg;-;-;-
balur appartment;-;-;-
Bamnoli;-;-;-
Bamnoli Village Delhi;-;-;-
Bamnoli Village Sector 28 Dwarka;-;-;-
Banarsi Das Estate;-;-;-
Bangla Sahib Road;-;-;-
Bank Colony;-;-;-
Bank Colony;-;-;-
Bank Colony Deoli;-;-;-
Bank Enclave;-;-;-
Bank Enclave Foot Over Bridge;-;-;-
Bankner;-;-;-
Bankner Village;-;-;-
Bans Mandi;-;-;-
Bapa Nagar;-;-;-
Bapu Dham;-;-;-
Bapu Park Kotla Mubarakpur;-;-;-
Bara Hindu Rao;-;-;-
Barwala Road;-;-;-
Basant Gaon;-;-;-
Basant Lok;-;-;-
Basti Harphool Singh;-;-;-
Batra Gali;-;-;-
Bawana Road;-;-;-
Bazar Lane;-;-;-
